"Holdings and weightings as of 5:35 PM ET 04/13/2017",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"BRK.b","Berkshire Hathaway B","11.02%","162.90","-2.21","-1.34%","3.63 M","136.65 - 177.86",
"JPM","JP Morgan Chase & Co","10.74%","84.40","-1.00","-1.17%","30.51 M","57.05 - 93.98",
"WFC","Wells Fargo & Co","8.24%","51.35","-1.77","-3.33%","47.97 M","43.55 - 59.99",
"BAC","Bank of America Corp","7.98%","22.34","-0.31","-1.37%","87.98 M","12.05 - 25.80",
"C","Citigroup Inc","5.73%","58.04","-0.47","-0.80%","31.74 M","38.31 - 62.53",
"GS","Goldman Sachs Group Inc","2.95%","223.32","-2.43","-1.08%","3.65 M","138.20 - 255.15",
"USB","US Bancorp","2.84%","49.98","-0.72","-1.42%","5.85 M","38.48 - 56.61",
"CB","Chubb Limited","2.27%","136.72","-0.30","-0.22%","1.12 M","116.65 - 140.56",
"MS","Morgan Stanley","2.08%","40.69","-0.38","-0.93%","10.50 M","23.11 - 47.33",
"AXP","American Express Co","2.04%","75.80","-0.88","-1.15%","3.66 M","57.15 - 82.00",
"PNC","PNC Finl Services Group","2.01%","115.80","-0.20","-0.17%","5.10 M","77.40 - 131.83",
"MET","Metlife Inc","1.98%","51.12","-0.85","-1.64%","6.50 M","36.17 - 58.09",
"AIG","American Intl Group Inc","1.97%","59.55","-0.62","-1.03%","5.95 M","48.41 - 67.47",
"BK","The Bank of New York Mellon Corp","1.72%","46.42","-0.47","-1.00%","3.83 M","35.72 - 49.54",
"BLK","BlackRock Inc","1.64%","379.00","-2.44","-0.64%","366.68 K","317.60 - 399.46",
"SCHW","Schwab Charles Corp","1.62%","37.53","-0.87","-2.27%","10.22 M","23.83 - 43.65",
"PRU","Prudential Financial Inc","1.58%","102.92","-0.92","-0.89%","1.51 M","66.51 - 114.55",
"CME","CME Group Inc A","1.40%","115.87","-0.75","-0.64%","971.14 K","89.58 - 127.60",
"COF","Capital One Financial","1.39%","81.02","-1.40","-1.70%","3.40 M","58.03 - 96.92",
"MMC","Marsh & McLennan Companies","1.32%","72.07","-0.65","-0.89%","1.68 M","60.04 - 75.52",
"ICE","Intercontinental Exchange Inc","1.26%","59.42","-0.41","-0.69%","1.64 M","46.42 - 61.98",
"BBT","BB&T Corp","1.23%","42.62","-0.61","-1.41%","3.73 M","32.85 - 49.88",
"TRV","Travelers Cos Inc","1.20%","120.53","-0.93","-0.77%","1.06 M","103.45 - 125.49",
"SPGI","S&P Global Inc","1.18%","128.28","-0.65","-0.50%","610.27 K","97.65 - 133.08",
"AON","Aon plc","1.10%","118.10","-0.57","-0.48%","651.84 K","100.55 - 120.40",
"ALL","Allstate Corp","1.05%","80.58","-0.39","-0.48%","1.24 M","64.36 - 83.09",
"AFL","AFLAC Inc","1.04%","73.00","-0.35","-0.48%","1.51 M","65.75 - 74.50",
"STT","State Street Corp","0.99%","77.30","-0.43","-0.55%","1.97 M","50.60 - 83.49",
"STI","SunTrust Banks Inc (GA)","0.94%","53.45","-0.54","-1.00%","4.96 M","37.20 - 61.69",
"DFS","Discover Financial Services","0.89%","64.77","-0.70","-1.07%","1.86 M","50.32 - 74.33",
"SYF","Synchrony Financial","0.89%","32.37","-0.44","-1.34%","5.27 M","23.25 - 38.06",
"MTB","M&T Bank Corp","0.81%","147.93","-1.89","-1.26%","1.52 M","108.04 - 173.72",
"PGR","Progressive Corp","0.81%","39.29","+0.01","+0.03%","2.71 M","30.54 - 40.74",
"AMP","Ameriprise Financial Inc","0.69%","126.23","-1.31","-1.03%","894.95 K","84.92 - 135.20",
"MCO","Moody's Corp","0.66%","112.43","-0.55","-0.49%","515.01 K","87.30 - 114.07",
"KEY","KeyCorp","0.65%","17.00","-0.17","-0.99%","13.53 M","10.21 - 19.53",
"NTRS","Northern Trust Corp (IL)","0.65%","85.03","-0.74","-0.86%","703.60 K","61.32 - 91.14",
"FITB","Fifth Third Bancorp (OH)","0.64%","23.93","-0.40","-1.64%","6.75 M","16.14 - 28.97",
"HIG","Hartford Finl Services Group","0.64%","47.73","-0.09","-0.19%","2.89 M","38.92 - 50.26",
"TROW","T Rowe Price Group Inc","0.61%","70.26","-0.19","-0.27%","1.74 M","62.97 - 79.00",
"CFG","Citizens Financial Group Inc","0.60%","33.24","-0.49","-1.45%","3.88 M","18.34 - 39.75",
"PFG","Principal Financial Group","0.59%","61.51","-0.42","-0.68%","703.28 K","38.04 - 64.65",
"RF","Regions Financial Corp","0.59%","13.68","-0.28","-2.01%","16.89 M","7.80 - 16.03",
"WLTW","Willis Towers Watson PLC","0.57%","126.54","+0.26","+0.21%","962.01 K","112.76 - 133.40",
"LNC","Lincoln National Corp","0.51%","63.23","-0.74","-1.16%","1.53 M","35.27 - 73.31",
"BEN","Franklin Resources Inc","0.50%","40.59","-0.22","-0.54%","2.21 M","30.56 - 44.35",
"HBAN","Huntington Bancshares (OH)","0.49%","12.59","-0.27","-2.10%","9.69 M","8.05 - 14.74",
"L","Loews Corp","0.45%","46.13","-0.59","-1.26%","883.60 K","38.17 - 48.05",
"IVZ","Invesco Ltd","0.43%","30.03","-0.45","-1.48%","2.47 M","23.02 - 33.46",
"CMA","Comerica Inc (MI)","0.41%","65.21","-0.91","-1.38%","1.50 M","36.82 - 75.00",
"CINF","Cincinnati Financial Corp","0.38%","70.46","-0.41","-0.58%","409.01 K","63.87 - 79.60",
"XL","XL Group Ltd","0.38%","40.01","-0.33","-0.82%","1.20 M","30.33 - 41.39",
"UNM","Unum Group","0.36%","44.66","-0.55","-1.22%","915.05 K","29.79 - 50.27",
